Id,date,ePAR,Temperature,RelativeHumidity,Co2,Pressure,VPD,DewPoint,FanRPM,SP_522,SQ_618
8702,2024-02-01 13:15:15,700.4,37.12,34.7,493,99.68,4.13,18.79,4096,482.1,1057.5
8703,2024-02-01 14:30:05,0,31.08,40.8,500,99.62,2.65,16.16,4130,223,504.6
8704,2024-02-01 14:35:16,308,29.98,42,503,99.61,2.43,15.61,4062,163.4,381
8705,2024-02-01 14:40:28,341.4,29.51,42.3,496,99.59,2.36,15.3,4028,262.6,564.5
8706,2024-02-01 14:45:39,300.9,29.32,43.4,490,99.59,2.3,15.55,3996,196,432.5
8707,2024-02-01 14:50:50,258.3,28.67,44.2,487,99.59,2.2,15.24,4028,150,340.4
8708,2024-02-01 14:56:01,266.7,28.37,44.9,490,99.6,2.12,15.22,3996,166.2,378.1
8709,2024-02-01 15:01:12,330.9,28.16,46.4,482,99.6,2.03,15.56,4062,247.3,515.5
8710,2024-02-01 15:06:24,416.8,28.83,45.6,498,99.6,2.16,15.89,4096,290.9,591.1
8711,2024-02-01 15:11:35,426.1,29.35,44.3,497,99.59,2.26,15.84,4096,262.5,556.6
8712,2024-02-01 15:16:46,534.2,30.18,43.2,490,99.59,2.44,16.26,3996,317.9,658.2
8713,2024-02-01 15:21:57,399.5,30.75,42.4,496,99.57,2.55,16.45,4062,224.3,469.3
8714,2024-02-01 15:27:08,298.8,30.2,42.8,490,99.56,2.45,16.07,4096,154.3,345.6
8715,2024-02-01 15:32:20,385.7,29.88,44,495,99.57,2.34,16.31,4062,211.5,455.4
8716,2024-02-01 15:37:31,305.6,30.17,44.7,491,99.58,2.36,16.69,3996,147.7,327.3
8717,2024-02-01 15:42:42,278.5,29.36,45.2,506,99.57,2.24,16.16,4028,137.4,309.7
8718,2024-02-01 15:47:53,242.8,28.5,45.2,481,99.56,2.14,15.4,4028,114.4,263.4
8719,2024-02-01 15:53:05,221.2,27.88,46.6,494,99.56,2.01,15.34,4028,99.1,234.7
8720,2024-02-01 15:58:16,215.7,27.05,45.4,495,99.56,1.94,14.23,4096,96.7,227.8
8721,2024-02-01 16:03:27,223,26.58,47,491,99.57,1.84,14.2,4062,100,231.4
8722,2024-02-01 16:09:09,218.2,25.92,46.7,491,99.56,1.77,13.7,4028,96.5,227.9
8723,2024-02-01 16:14:20,233.2,25.59,47.7,477,99.58,1.72,13.6,4062,107,243.2
8724,2024-02-01 16:19:32,226.9,25.32,48.8,492,99.6,1.64,13.76,3996,108.6,239.4
8725,2024-02-01 16:20:13,241.4,25.35,49,493,99.6,1.64,13.83,4028,118.2,253.9
8726,2024-02-01 16:25:24,260.5,25.59,49.6,494,99.59,1.65,14.26,3996,127.2,259
8727,2024-02-01 16:30:35,216.4,25.71,50.3,500,99.61,1.63,14.57,4096,104.6,219.1
8728,2024-02-01 16:31:50,209.8,25.69,50.4,503,99.61,1.63,14.59,4028,102.1,214.2
8729,2024-02-01 16:37:32,194.9,25.47,50.8,500,99.6,1.59,14.53,3996,94.7,198.9
8730,2024-02-01 16:43:15,171.9,25.18,51.8,498,99.6,1.54,14.55,4096,83.7,175.5
8731,2024-02-01 16:48:26,149.5,24.9,52.7,505,99.6,1.48,14.55,4062,71.8,151.9
8732,2024-02-01 16:53:37,129.7,24.53,53.4,501,99.6,1.43,14.41,4028,63.5,134.1
8733,2024-02-01 16:58:48,125.8,24.12,54.2,495,99.59,1.37,14.25,4028,60.9,127.8
8734,2024-02-01 17:03:59,111.6,23.78,55,500,99.59,1.32,14.19,4096,52.8,112.5
8735,2024-02-01 17:09:11,93.8,23.38,56.2,509,99.59,1.25,14.12,4062,43.3,93.8
8736,2024-02-01 17:14:22,81,22.85,56.9,500,99.59,1.19,13.82,4096,37.4,80.6
8737,2024-02-01 17:19:33,71.8,22.37,57.6,509,99.59,1.14,13.59,3963,33.1,70
8738,2024-02-01 17:25:17,58.2,21.88,57.8,504,99.58,1.1,13.18,3996,26.8,55.6
8739,2024-02-01 17:31:06,49.5,21.56,58.1,505,99.58,1.07,12.95,4062,21.9,44.8
8740,2024-02-01 17:36:18,41.3,21.06,59.1,510,99.59,1.02,12.77,3996,18.5,36.4
8741,2024-02-01 17:41:29,34,20.78,59.2,500,99.59,0.99,12.51,4062,14.9,28.4
8742,2024-02-01 17:46:40,26.2,20.34,60,510,99.6,0.95,12.24,4028,11.5,20.9
8743,2024-02-01 17:52:22,18.1,19.91,60.8,507,99.59,0.91,11.98,4062,7.4,11.9
8744,2024-02-01 17:57:33,12.1,19.65,60.4,508,99.59,0.9,11.82,4096,4.2,5.6
8745,2024-02-01 18:02:45,7.1,19.25,60.4,513,99.59,0.88,11.36,4028,1.7,0.9
8746,2024-02-01 18:07:56,2.8,18.86,60.9,507,99.59,0.85,11.06,4028,0.2,0
8747,2024-02-01 18:13:07,1.1,18.44,60.7,509,99.59,0.82,10.75,4096,6553.5,0.1
8748,2024-02-01 18:18:18,0.1,18.14,61.1,508,99.6,0.81,10.49,4028,6552.9,0.1
8749,2024-02-01 18:23:29,0,17.76,61.2,508,99.59,0.78,10.23,4062,6552.8,0.2
8750,2024-02-01 18:28:40,0,17.5,61.4,512,99.59,0.77,10.1,3996,6552.6,6553.5
8751,2024-02-01 18:33:52,0,17.31,61.4,509,99.58,0.75,9.82,4028,6552.4,6553.5
8752,2024-02-01 18:39:03,0,17.26,62.3,512,99.59,0.73,10.01,4062,6552.5,0
8753,2024-02-01 18:44:14,0,16.84,62.5,505,99.58,0.72,9.59,3963,6552.5,0.1
8754,2024-02-01 18:49:25,0,16.91,62.6,515,99.59,0.7,9.84,4062,6552.4,0
8755,2024-02-01 18:54:36,0,16.6,63.6,513,99.6,0.68,9.67,3996,6552.6,0
8756,2024-02-01 18:59:48,0,16.3,64.3,521,99.61,0.66,9.46,3996,6552.4,0
8757,2024-02-01 19:04:59,0,16.18,64.3,507,99.61,0.66,9.39,4096,6552.7,0.2
8758,2024-02-01 19:10:10,0,16.33,64.1,526,99.62,0.67,9.63,4028,6552.7,6553.5
8759,2024-02-01 19:15:21,0,15.75,65.3,508,99.61,0.63,9.35,3996,6552.8,0
8760,2024-02-01 19:20:32,0,15.94,64.5,513,99.62,0.64,9.32,4062,6552.9,0.1
8761,2024-02-01 19:25:44,0,15.59,65,504,99.63,0.61,9.12,4096,6552.7,0.1
8762,2024-02-01 19:30:55,0,16.02,64.3,516,99.62,0.63,9.2,4062,6552.7,0
8763,2024-02-01 19:36:06,0,15.68,65.1,514,99.62,0.62,9.29,3963,6552.8,0.1
8764,2024-02-01 19:41:17,0,15.68,65.5,517,99.63,0.61,9.3,4062,6552.8,0
8765,2024-02-01 19:46:28,0,15.53,66.1,521,99.63,0.6,9.26,4028,6552.9,6553.5
8766,2024-02-01 19:51:40,0,15.5,65.6,514,99.61,0.58,9.07,4028,6552.9,0
8767,2024-02-01 19:56:51,0,15.45,65.3,522,99.62,0.6,8.9,4028,6552.8,6553.3
8768,2024-02-01 20:02:02,0,15.54,64.5,524,99.62,0.61,9.04,3996,6552.9,0
8769,2024-02-01 20:07:13,0,15.3,65,521,99.62,0.59,8.6,4096,6552.9,6553.5
8770,2024-02-01 20:12:24,0,14.94,64.6,513,99.62,0.59,8.28,3963,6552.8,0.2
8771,2024-02-01 20:17:36,0,14.88,64.5,517,99.61,0.59,8.1,3963,6552.8,0
8772,2024-02-01 20:22:47,0,15.13,64.2,516,99.6,0.59,8.28,3963,6552.9,0
8773,2024-02-01 20:27:58,0,14.97,64.6,528,99.62,0.6,8.39,3996,6552.9,0
8774,2024-02-01 20:33:09,0,14.82,65.3,515,99.62,0.59,8.48,3996,6552.9,0
8775,2024-02-01 20:38:20,0,14.86,65.4,513,99.62,0.57,8.52,3996,6552.9,0
8776,2024-02-01 20:43:31,0,14.53,65.4,517,99.62,0.56,8.19,3996,6552.8,6553.5
8777,2024-02-01 20:48:43,0,14.59,66.2,523,99.63,0.55,8.46,3996,6552.8,6553.5
8778,2024-02-01 20:53:54,0,14.61,66.9,522,99.63,0.54,8.59,3963,6552.8,0
8779,2024-02-01 20:59:05,0,14.74,66.3,520,99.62,0.54,8.51,3996,6552.9,0.1
8780,2024-02-01 21:04:16,0,14.33,68,522,99.63,0.52,8.4,4028,6553,0.1
8781,2024-02-01 21:09:27,0,14.31,67.7,512,99.62,0.52,8.49,2006,6552.9,0
8782,2024-02-01 21:14:39,0,14.21,68.3,534,99.62,0.51,8.58,4028,6552.9,0
8783,2024-02-01 21:19:50,0,14.07,69.7,518,99.63,0.47,8.48,3996,6552.8,0
8784,2024-02-01 21:25:01,0,13.88,70.4,524,99.62,0.46,8.47,3963,6552.9,6553.5
8785,2024-02-01 21:30:12,0,13.98,70.4,535,99.62,0.47,8.7,4062,6552.9,0
8786,2024-02-01 21:35:23,0,13.8,70.8,526,99.62,0.45,8.55,3996,6552.7,6553.5
8787,2024-02-01 21:40:34,0,13.59,71.3,523,99.62,0.44,8.45,3996,6552.9,6553.4
8788,2024-02-01 21:45:46,0,13.59,72.4,535,99.62,0.43,8.69,4062,6552.8,0
8789,2024-02-01 21:47:03,0,13.67,72.3,523,99.62,0.42,8.69,3996,6552.8,0.1
8790,2024-02-01 21:52:14,0,13.45,71.9,525,99.62,0.43,8.51,3963,6552.8,0
8791,2024-02-01 21:57:25,0,13.36,71.7,536,99.61,0.43,8.4,3996,6552.8,0.1
8792,2024-02-01 22:03:08,0,13.59,70.6,522,99.61,0.44,8.18,4028,6552.9,0.2
8793,2024-02-01 22:08:19,0,13.53,71,523,99.62,0.43,8.25,2014,6552.9,0
8794,2024-02-01 22:13:30,0,13.15,71.9,526,99.62,0.42,8.21,4028,6553,6553.5
8795,2024-02-01 22:18:41,0,13.3,72.1,524,99.63,0.42,8.4,4028,6552.9,0.1
8796,2024-02-01 22:23:52,0,12.94,74.1,526,99.63,0.38,8.46,4062,6552.8,0
8797,2024-02-01 22:29:04,0,12.83,74.1,527,99.64,0.38,8.34,4062,6553,6553.4
8798,2024-02-01 22:34:15,0,13.04,74.3,518,99.65,0.38,8.58,4062,6552.9,0
8799,2024-02-01 22:39:26,0,12.88,75.7,531,99.64,0.35,8.65,4062,6552.9,0.1
8800,2024-02-01 22:44:37,0,12.82,76.5,535,99.65,0.35,8.85,3996,6552.8,0
8801,2024-02-01 22:49:48,0,12.88,77.1,531,99.65,0.33,8.89,3996,6552.9,0.1
8802,2024-02-01 22:55:00,0,12.64,78,529,99.65,0.32,8.89,4096,6552.9,0
8803,2024-02-01 23:00:11,0,12.62,78.6,537,99.65,0.3,8.87,3963,6552.9,0.1
8804,2024-02-01 23:05:22,0,12.49,78.1,538,99.64,0.31,8.78,2014,6553,0
8805,2024-02-01 23:10:33,0,12.47,77.9,537,99.64,0.31,8.73,4028,6552.9,0
8806,2024-02-01 23:16:20,0,12.38,77.8,541,99.64,0.32,8.66,3996,6552.8,6553.5
8807,2024-02-01 23:21:32,0,12.37,78.5,544,99.64,0.3,8.68,4062,6553,0
8808,2024-02-01 23:26:43,0,12.25,78.2,542,99.64,0.31,8.6,4028,6552.9,0
8809,2024-02-01 23:31:54,0,12.29,77.5,544,99.64,0.31,8.44,4062,6552.9,0
8810,2024-02-01 23:37:05,0,12.06,76.6,545,99.63,0.33,8.18,3996,6553,0
8811,2024-02-01 23:42:47,0,12.07,77.3,543,99.64,0.32,8.22,3996,6552.9,0
8812,2024-02-01 23:47:58,0,11.98,77.8,551,99.65,0.31,8.22,3996,6552.9,6553.4
8813,2024-02-01 23:53:10,0,12.17,77.9,547,99.65,0.3,8.3,4062,6552.9,0.1
8814,2024-02-01 23:58:21,0,11.92,78.7,549,99.65,0.29,8.31,4028,6552.9,0
8815,2024-02-02 00:03:32,0,11.9,79.4,550,99.66,0.28,8.45,4062,6552.9,0.1
8816,2024-02-02 00:08:43,0,12.04,79,545,99.66,0.28,8.46,4062,6552.8,0
8817,2024-02-02 00:13:54,0,11.93,79.3,543,99.66,0.29,8.49,4028,6552.9,6553.5
8818,2024-02-02 00:19:06,0,11.8,78.6,543,99.65,0.29,8.21,3963,6553,0
8819,2024-02-02 00:24:55,0,11.6,77.7,538,99.64,0.3,7.8,3963,6553,6553.4
8820,2024-02-02 00:30:06,0,11.66,76.9,538,99.64,0.31,7.72,3963,6553,0
8821,2024-02-02 00:35:54,0,11.68,76.6,538,99.64,0.31,7.73,3963,6553,0
8822,2024-02-02 00:41:06,0,11.67,75.9,536,99.64,0.32,7.52,3996,6553.1,6553.5
8823,2024-02-02 00:46:51,0,11.63,76.1,542,99.63,0.32,7.53,3963,6552.9,0
8824,2024-02-02 00:52:02,0,11.56,75.5,542,99.63,0.33,7.37,3996,6553,0
8825,2024-02-02 00:57:13,0,11.53,75.8,532,99.63,0.32,7.41,4062,6553,6553.5
8826,2024-02-02 01:02:24,0,11.35,76.2,534,99.61,0.31,7.3,3996,6552.9,0
8827,2024-02-02 01:07:35,0,11.34,75.8,540,99.61,0.32,7.23,3996,6553,0.1
8828,2024-02-02 01:12:47,0,11.34,75.7,532,99.61,0.32,7.22,2006,6552.9,0.2
8829,2024-02-02 01:17:58,0,11.38,76.1,535,99.63,0.32,7.31,3963,6552.8,0
8830,2024-02-02 01:23:09,0,11.31,76.6,516,99.63,0.31,7.35,3963,6552.9,0
8831,2024-02-02 01:28:20,0,11.43,76.1,527,99.63,0.31,7.37,3963,6552.9,0
8832,2024-02-02 01:33:31,0,11.53,75.9,524,99.62,0.32,7.3,3996,6553,0
8833,2024-02-02 01:38:43,0,11.27,76.5,525,99.61,0.31,7.3,4028,6553.1,0.2
8834,2024-02-02 01:43:54,0,11.27,76.8,521,99.62,0.31,7.39,3996,6553,6553.5
8835,2024-02-02 01:49:05,0,11.23,76.8,530,99.61,0.3,7.29,3963,6553,0.1
8836,2024-02-02 01:54:16,0,11.43,75.6,527,99.61,0.32,7.24,3996,6553,0
8837,2024-02-02 01:59:27,0,11.41,76.4,529,99.62,0.31,7.39,3963,6553,0
8838,2024-02-02 02:04:39,0,11.27,76.5,523,99.62,0.31,7.33,3963,6552.9,0.1
8839,2024-02-02 02:10:24,0,11.2,75.2,526,99.62,0.32,6.98,4028,6553,0
8840,2024-02-02 02:15:35,0,11.2,76.7,531,99.63,0.3,7.25,4062,6552.9,0
8841,2024-02-02 02:20:46,0,11.11,76.8,525,99.63,0.3,7.19,4028,6553,6553.5
8842,2024-02-02 02:26:30,0,10.99,77.5,525,99.63,0.29,7.23,3963,6552.9,0
8843,2024-02-02 02:31:42,0,10.91,78.4,530,99.65,0.28,7.32,1935,6552.9,6553.5
8844,2024-02-02 02:36:53,0,10.94,77.1,532,99.65,0.29,7.11,4062,6552.7,6553.5
8845,2024-02-02 02:42:04,0,10.78,78.9,528,99.67,0.27,7.29,3996,6553.1,0
8846,2024-02-02 02:47:15,0,10.8,80.1,536,99.67,0.25,7.52,4028,6552.9,0.1
8847,2024-02-02 02:52:26,0,10.75,81.1,530,99.68,0.24,7.55,3996,6552.9,6553.4
8848,2024-02-02 02:57:38,0,10.86,80.5,537,99.67,0.25,7.61,4028,6553,0
8849,2024-02-02 03:02:49,0,10.72,81.7,532,99.67,0.23,7.73,4062,6552.7,6553.4
8850,2024-02-02 03:08:00,0,10.64,81.9,537,99.67,0.23,7.62,3996,6553,6553.5
8851,2024-02-02 03:13:48,0,10.51,81.1,536,99.67,0.23,7.4,3996,6552.9,6553.4
8852,2024-02-02 03:18:59,0,10.49,81.8,533,99.68,0.22,7.47,3996,6552.9,0.1
8853,2024-02-02 03:24:11,0,10.36,82.2,540,99.66,0.22,7.46,3996,6552.9,0
8854,2024-02-02 03:29:22,0,10.39,82.2,539,99.65,0.22,7.47,3996,6553,0
8855,2024-02-02 03:34:33,0,10.32,82.3,528,99.66,0.22,7.45,3963,6553,0
8856,2024-02-02 03:40:15,0,10.41,82.5,545,99.65,0.22,7.54,3963,6553.1,0
8857,2024-02-02 03:45:26,0,10.41,82.7,539,99.65,0.21,7.55,4028,6553,0.1
8858,2024-02-02 03:50:38,0,10.32,83.2,532,99.65,0.21,7.58,3963,6553,6553.4
8859,2024-02-02 03:55:49,0,10.3,83,542,99.65,0.21,7.55,4028,6553,0.1
8860,2024-02-02 04:01:00,0,10.28,83.3,549,99.65,0.2,7.58,4062,6553,0.1
8861,2024-02-02 04:06:47,0,10.33,83.2,536,99.65,0.21,7.58,3963,6553.1,0
8862,2024-02-02 04:11:58,0,10.19,83.6,532,99.65,0.2,7.52,3996,6553,0.2
8863,2024-02-02 04:17:10,0,10.14,83.8,544,99.65,0.2,7.57,4028,6552.9,6553.5
8864,2024-02-02 04:22:21,0,10.06,84,534,99.64,0.19,7.49,3996,6553,0
8865,2024-02-02 04:27:32,0,10.05,83.8,534,99.64,0.19,7.45,4062,6552.9,6553.5
8866,2024-02-02 04:32:43,0,9.98,84.5,543,99.64,0.19,7.54,4028,6552.9,6553.4
8867,2024-02-02 04:37:54,0,9.94,84.5,544,99.63,0.19,7.46,3996,6552.9,0
8868,2024-02-02 04:43:06,0,9.97,84.2,540,99.64,0.19,7.42,4028,6552.9,0
8869,2024-02-02 04:48:49,0,9.89,84.4,539,99.64,0.19,7.4,4062,6552.9,0
8870,2024-02-02 04:54:00,0,9.85,84.2,542,99.64,0.19,7.31,4062,6552.9,0.1
8871,2024-02-02 04:54:41,0,9.93,84.4,554,99.64,0.19,7.4,3996,6552.9,0
8872,2024-02-02 05:00:24,0,9.79,84,538,99.63,0.19,7.19,4096,6552.9,0
8873,2024-02-02 05:05:35,0,9.72,83.9,541,99.63,0.19,7.14,4028,6552.9,0
8874,2024-02-02 05:11:21,0,9.78,84.2,536,99.64,0.18,7.22,4028,6552.9,0
8875,2024-02-02 05:16:32,0,9.8,84.5,539,99.64,0.18,7.23,4028,6552.9,0.1
8876,2024-02-02 05:21:43,0,9.63,84,550,99.64,0.18,7.09,3963,6553,0
8877,2024-02-02 05:26:54,0,9.58,84.3,536,99.65,0.18,7.14,4062,6553,0
8878,2024-02-02 05:32:05,0,9.55,84.7,531,99.65,0.18,7.12,4028,6553,0
8879,2024-02-02 05:37:17,0,9.56,84.6,534,99.65,0.18,7.07,3996,6553,6553.5
8880,2024-02-02 05:42:28,0,9.56,85,531,99.65,0.17,7.21,4028,6552.9,6553.5
8881,2024-02-02 05:47:39,0,9.47,85.1,536,99.65,0.17,7.08,4096,6552.9,0
8882,2024-02-02 05:52:50,0,9.52,84,537,99.64,0.18,6.97,3963,6553,0
8883,2024-02-02 05:58:01,0,9.49,84.7,538,99.65,0.17,7.03,4028,6553,6553.4
8884,2024-02-02 06:03:13,0,9.37,85.1,537,99.64,0.17,7.02,4062,6553,0
8885,2024-02-02 06:08:24,0,9.32,85.1,540,99.65,0.17,7.05,4062,6553,6553.5
8886,2024-02-02 06:13:35,0,9.35,85.3,543,99.65,0.17,7.01,4028,6553,0
8887,2024-02-02 06:18:46,0,9.27,85.8,542,99.65,0.16,7,4028,6553,0
8888,2024-02-02 06:23:57,0,9.29,85.8,541,99.65,0.16,7.06,3996,6552.9,6553.5
8889,2024-02-02 06:29:46,0,9.25,86,541,99.65,0.16,7.01,4028,6552.9,6553.5
8890,2024-02-02 06:34:57,0,9.22,86.2,549,99.65,0.16,7.04,3996,6552.8,0
8891,2024-02-02 06:40:08,0,9.19,86.1,547,99.66,0.16,7.01,4062,6553,0.1
8892,2024-02-02 06:45:19,0,9.12,86.3,549,99.66,0.15,6.97,3996,6552.8,6553.5
8893,2024-02-02 06:46:00,0,9.17,86.1,549,99.66,0.16,7,4028,6553,0
8894,2024-02-02 06:51:11,0,9.11,86.3,541,99.65,0.15,6.96,4028,6552.9,6553.5
8895,2024-02-02 06:56:23,0,9.13,86.1,538,99.66,0.15,6.93,4028,6552.9,0
8896,2024-02-02 07:01:34,0,9.02,86.7,552,99.67,0.15,6.91,4028,6553.1,0.2
8897,2024-02-02 07:06:45,0,9.03,86.8,544,99.68,0.15,6.96,4062,6552.9,6553.5
8898,2024-02-02 07:12:30,0,8.88,86.9,548,99.68,0.14,6.82,4028,6552.9,0
8899,2024-02-02 07:17:41,0,8.89,87.1,544,99.68,0.14,6.85,4028,6552.9,0
8900,2024-02-02 07:22:53,0,8.84,87.7,546,99.67,0.13,6.9,3963,6553,6553.4
8901,2024-02-02 07:28:37,0,8.85,87.7,556,99.69,0.13,6.94,4028,6552.9,0.1
8902,2024-02-02 07:33:48,0,8.74,88.1,539,99.69,0.13,6.87,3963,6553,6553.3
8903,2024-02-02 07:38:59,0,8.8,87.9,547,99.7,0.13,6.92,3996,6553.1,0
8904,2024-02-02 07:44:10,0,8.79,88.1,541,99.7,0.13,6.93,4028,6553.2,0
8905,2024-02-02 07:49:22,0,8.84,88,543,99.71,0.13,6.96,4062,0.1,6553.4
8906,2024-02-02 07:54:33,1.2,8.82,88.3,552,99.72,0.13,6.99,4028,0.5,6553.5
8907,2024-02-02 07:59:44,2.6,8.89,88,561,99.73,0.13,6.96,4062,0.9,0
8908,2024-02-02 08:04:55,4.8,8.94,87.5,558,99.74,0.14,6.94,4062,1.8,0.1
8909,2024-02-02 08:10:06,9.1,8.95,87.1,557,99.74,0.14,6.88,4062,3.8,4.2
8910,2024-02-02 08:15:49,14.1,9.02,86.7,555,99.73,0.15,6.92,3996,6.6,9.8
8911,2024-02-02 08:21:00,19.4,9.11,86.6,549,99.75,0.15,7.01,4028,8.7,15.6
8912,2024-02-02 08:27:24,30.7,9.24,86.2,549,99.74,0.16,7.05,3963,14.6,28.2
8913,2024-02-02 08:32:35,40.5,9.36,86,555,99.73,0.16,7.16,4062,18.2,38.7
8914,2024-02-02 08:37:46,48.3,9.56,85.7,538,99.75,0.16,7.28,4062,21,46.6
8915,2024-02-02 08:42:58,56.7,9.68,85.8,545,99.76,0.17,7.37,4028,24.7,56.8
8916,2024-02-02 08:48:44,66.9,9.84,85.1,547,99.75,0.18,7.45,3963,28.6,67.1
8917,2024-02-02 08:53:55,75.1,10.04,85.1,539,99.78,0.18,7.61,2014,32.5,77.5
8918,2024-02-02 08:59:06,80.4,10.14,84.2,543,99.77,0.19,7.58,3963,35.1,84.7
8919,2024-02-02 09:04:17,86.7,10.31,83.6,537,99.78,0.2,7.67,4062,36.9,89.9
8920,2024-02-02 09:09:29,96.4,10.55,83.3,539,99.77,0.21,7.82,4062,40.7,100
8921,2024-02-02 09:14:40,108.2,10.67,83,528,99.77,0.21,7.88,4028,45.3,112.8
8922,2024-02-02 09:19:51,114.6,10.84,82,540,99.77,0.23,7.9,4028,48.9,122.2
8923,2024-02-02 09:25:02,118.8,11.04,81.8,539,99.76,0.23,8.02,4028,51.6,129.9
8924,2024-02-02 09:30:13,125.4,11.24,81.4,537,99.76,0.24,8.17,2014,55,139.2
8925,2024-02-02 09:35:25,134.7,11.52,80.9,524,99.76,0.25,8.4,4062,59.7,151.7
8926,2024-02-02 09:40:36,143.1,11.65,80.8,531,99.75,0.26,8.49,4062,62.9,161.7
8927,2024-02-02 09:45:47,154.7,12.01,80.5,526,99.76,0.26,8.7,4096,69.7,180.4
8928,2024-02-02 09:50:58,161.6,12.23,80.4,524,99.77,0.28,8.95,3996,72.2,187.6
8929,2024-02-02 09:56:09,170.9,12.54,79.9,536,99.75,0.29,9.16,4028,75.6,197.2
8930,2024-02-02 10:01:20,179.5,12.82,79.6,535,99.75,0.3,9.4,4062,81.4,211.8
8931,2024-02-02 10:06:32,184,13.24,79.1,541,99.75,0.31,9.67,4028,84.6,219.7
8932,2024-02-02 10:11:43,176.9,13.62,78.4,534,99.75,0.33,9.89,3996,78.9,206.5
8933,2024-02-02 10:16:54,183.1,13.74,78.3,526,99.75,0.33,10.07,3996,82.9,218.2
8934,2024-02-02 10:22:05,193.6,14.01,78.2,535,99.76,0.34,10.26,4028,90.2,236.3
8935,2024-02-02 10:27:16,220.9,14.37,77.9,516,99.76,0.36,10.59,4096,108.8,287.1
8936,2024-02-02 10:32:28,318.2,15,77,531,99.75,0.39,11.06,4028,172.4,468.9
8937,2024-02-02 10:37:39,294.2,16.24,75,538,99.75,0.45,11.81,3963,163.9,430.9
8938,2024-02-02 10:42:50,288,16.97,73.1,526,99.74,0.52,12.09,4096,160.8,419
8939,2024-02-02 10:48:01,281.3,17.58,71,530,99.72,0.58,12.23,3996,163.4,424
8940,2024-02-02 10:53:12,321.6,17.9,68.9,516,99.7,0.62,12.25,4062,192.5,488.2
8941,2024-02-02 10:58:24,401.4,18.69,67.4,518,99.69,0.7,12.49,4028,252.5,649.2
8942,2024-02-02 11:03:35,493,19.61,63.8,529,99.68,0.82,12.54,4096,318.2,841.8
8943,2024-02-02 11:09:23,532.2,21.31,58.9,513,99.64,1.04,12.96,4062,382.7,899.9
8944,2024-02-02 11:15:05,545.9,23.16,54.8,519,99.62,1.28,13.59,4062,400.7,943.1
8945,2024-02-02 11:20:16,536.1,24.3,52.6,512,99.64,1.43,13.95,4096,344,906
8946,2024-02-02 11:25:28,537.6,25.19,51,505,99.68,1.57,14.32,3996,416.3,931.2
8947,2024-02-02 11:30:39,481.5,26.07,49.8,506,99.69,1.69,14.83,4062,408.4,894.5
8948,2024-02-02 11:35:50,415.5,26.29,49.2,513,99.71,1.74,14.78,4062,287.1,784
8949,2024-02-02 11:41:01,478.6,25.84,48.2,510,99.72,1.72,14.07,4096,334.9,890.2
8950,2024-02-02 11:41:42,469.2,26.51,47.3,510,99.71,1.79,14.21,4028,335.6,865
8951,2024-02-02 11:46:53,382.4,26.8,47.2,506,99.71,1.85,14.6,3996,432.7,899.6
8952,2024-02-02 11:52:05,332.2,27.29,46.7,503,99.71,1.93,14.95,4096,408.2,1035.5
8953,2024-02-02 11:57:16,330.4,27.87,44.7,502,99.71,2.08,14.72,4062,352.4,993.5
8954,2024-02-02 12:02:27,274.6,27.55,45.1,506,99.7,2.01,14.56,4028,274.2,659.5
8955,2024-02-02 12:07:38,393,26.36,45.1,524,99.73,1.88,13.5,4062,371.7,922.8
8956,2024-02-02 12:12:49,526.8,27.54,44,515,99.71,2.04,14.12,2031,413.3,1217.8
8957,2024-02-02 12:18:01,520.3,29.61,42.1,509,99.72,2.43,15.37,4028,473,1039.4
8958,2024-02-02 12:23:12,419.8,29.93,41.3,509,99.7,2.51,15.42,4062,352.6,772
8959,2024-02-02 12:28:23,457.3,28.44,42.5,502,99.68,2.25,14.51,4130,322.5,929.7
8960,2024-02-02 12:34:07,569.7,28.67,42.8,498,99.68,2.23,14.74,4028,468.1,1055.1
8961,2024-02-02 12:39:18,562.6,29.38,40.4,499,99.66,2.45,14.5,4028,543.3,1076.2
8962,2024-02-02 12:39:59,561.7,29.6,40.7,494,99.66,2.5,14.85,4096,534.8,1090.8
8963,2024-02-02 12:45:11,569.4,30.77,41,508,99.67,2.72,16.05,4062,413.8,1113.2
8964,2024-02-02 12:50:22,569.9,31.64,40,507,99.66,2.72,16.32,4096,441.3,1044.5
8965,2024-02-02 12:55:33,574.3,31.99,39.9,507,99.65,2.87,16.62,4130,506.4,1029.1
8966,2024-02-02 13:00:44,590.4,32.28,39.5,507,99.65,2.91,16.77,4062,428.1,1078.6
8967,2024-02-02 13:05:55,602.2,32.57,39.1,495,99.63,3,16.77,4062,444,1024.9
8968,2024-02-02 13:11:07,612.7,33.05,38.5,501,99.63,3.08,16.96,4028,525.2,1031
8969,2024-02-02 13:16:18,598.5,33.25,38.2,491,99.62,3.11,17.1,4096,393.9,1035.8
8970,2024-02-02 13:21:29,612.3,32.49,38.1,495,99.61,3.11,15.83,4096,403.3,1010.5
8971,2024-02-02 13:26:40,609.7,32.82,38.8,499,99.62,3.07,16.72,4028,481,994
8972,2024-02-02 13:31:51,603.7,32.97,37.6,500,99.6,3.09,16.46,4062,443.4,1023
8973,2024-02-02 13:37:03,589.6,33.35,37.5,502,99.6,3.19,16.88,3996,406.4,1001.8
